source,file_id,profile_score_comprehensive_analyst,profile_score_historically_focused,profile_score_technique_style_focused,profile_score_theory_comparison_focused,profile_score_general_descriptive
google_gemini-2.5pro,April\四月(basic).txt,0.6393786475391072,0.4176422506570816,0.6515782741829753,0.9098951816558838,0.6754320785403252
google_gemini-2.5pro,April\四月(with_Brother_Thomas).txt,0.6727795565829557,0.51026451587677,0.6084028959274292,0.9059988260269165,0.8013521432876587
google_gemini-2.5pro,April\四月(with_Dr._Aris_Thorne).txt,0.5018165933296961,0.25259438902139664,0.49193803444504736,0.9199015498161316,0.5261440835893154
google_gemini-2.5pro,April\四月(with_Guo_Xi).txt,0.8441331474220052,0.7860620419184366,0.804646474123001,0.9536737203598022,0.8483795672655106
google_gemini-2.5pro,April\四月(with_John_Ruskin).txt,0.527538526145851,0.37259214123090106,0.32467969208955766,0.9195603728294373,0.6162619814276695
google_gemini-2.5pro,April\四月(with_Mama_Zola).txt,0.273912105764098,0.11334926138321559,0.223078572191298,0.5971824526786804,0.4512072913348675
google_gemini-2.5pro,April\四月(with_Okakura_Kakuzō).txt,0.8292955164523685,0.77272101243337,0.760461474955082,0.9493868350982666,0.8615328669548035
google_gemini-2.5pro,April\四月(with_Professor_Elena_Petrova).txt,0.7460270085755516,0.5240555802981058,0.7480036437511444,0.8021442890167236,0.8501017689704895
google_gemini-2.5pro,April\四月(with_Su_Shi).txt,0.5372954773552278,0.36277549465497333,0.6293929278850555,0.6615814566612244,0.5864529609680176
google_gemini-2.5pro,August\八月(basic).txt,0.48689061753890095,0.3741251826286316,0.4089830994606018,0.586711585521698,0.6192715913057327
google_gemini-2.5pro,August\八月(with_Brother_Thomas).txt,0.6109661744797931,0.45562313000361127,0.5497793927788734,0.9102832078933716,0.7708954364061356
google_gemini-2.5pro,August\八月(with_Dr._Aris_Thorne).txt,0.4325813736547442,0.09663037334879239,0.4407387554645538,0.8884925246238708,0.5085493475198746
google_gemini-2.5pro,August\八月(with_Guo_Xi).txt,0.5860127464813345,0.32230064272880554,0.6078463286161423,0.6771754622459412,0.6583467423915863
google_gemini-2.5pro,August\八月(with_John_Ruskin).txt,0.5847624882179148,0.388773779074351,0.4278536707162857,0.9401403069496155,0.7269296124577522
google_gemini-2.5pro,August\八月(with_Mama_Zola).txt,0.3788172318874037,0.3110339517394702,0.20141385979950427,0.8904213309288025,0.5918610543012619
google_gemini-2.5pro,August\八月(with_Okakura_Kakuzō).txt,0.35844267948585395,0.2334766685962677,0.3357430562376976,0.7654262185096741,0.3968486487865448
google_gemini-2.5pro,August\八月(with_Professor_Elena_Petrova).txt,0.7483607565655428,0.5960881114006042,0.6865967750549317,0.8990518450737,0.8522837311029434
google_gemini-2.5pro,August\八月(with_Su_Shi).txt,0.7543287224629346,0.5527145266532898,0.7831895530223847,0.8620190024375916,0.8639750629663467
google_gemini-2.5pro,December\十二月(basic).txt,0.7795042132630068,0.5511291027069092,0.7588428556919098,0.9811212420463562,0.8491218239068985
google_gemini-2.5pro,December\十二月(with_Brother_Thomas).txt,0.6675716223304763,0.5780519644419352,0.6112592119723559,0.7543652653694153,0.7445748746395111
google_gemini-2.5pro,December\十二月(with_Dr._Aris_Thorne).txt,0.3101727980572511,0.13624046494563422,0.2769255625084043,0.5648877024650574,0.30895520001649857
google_gemini-2.5pro,December\十二月(with_Guo_Xi).txt,0.2928378510508029,0.12742780024806658,0.33289918331429363,0.36012500524520874,0.34818482398986816
google_gemini-2.5pro,December\十二月(with_John_Ruskin).txt,0.8693417170468498,0.8027521371841431,0.8589623689651489,0.9182913899421692,0.9343996047973633
google_gemini-2.5pro,December\十二月(with_Mama_Zola).txt,0.9145306453985327,0.8775917887687683,0.9231409311294556,0.9471092224121094,0.9289436191320419
google_gemini-2.5pro,December\十二月(with_Okakura_Kakuzō).txt,0.7494305968284607,0.6116045018037161,0.7204636991024017,0.8946705460548401,0.8424819707870483
google_gemini-2.5pro,December\十二月(with_Professor_Elena_Petrova).txt,0.4076666341108434,0.26704086860020954,0.4932181417942047,0.5141726136207581,0.45694825053215027
google_gemini-2.5pro,December\十二月(with_Su_Shi).txt,0.7037092920611886,0.4957551856835683,0.8095813512802124,0.6967742443084717,0.7536885887384415
google_gemini-2.5pro,February\二月(Basic).txt,0.5297730175011298,0.26466936121384305,0.7510998249053955,0.7155494093894958,0.4401782788336277
google_gemini-2.5pro,February\二月(with_Brother_Thomas).txt,0.5749565450584188,0.4314604004224141,0.5139864623546601,0.8027106523513794,0.6367848366498947
google_gemini-2.5pro,February\二月(with_Dr_Aris_Thorne).txt,0.43456481397151947,0.29553553462028503,0.46955972015857694,0.6539756655693054,0.4457693099975586
google_gemini-2.5pro,February\二月(with_Guo_Xi).txt,0.16072405567940543,0.09455342094103496,0.15930425524711608,0.2515757977962494,0.19077621959149837
google_gemini-2.5pro,February\二月(with_John_Ruskin).txt,0.25815609689144525,0.035740941762924194,0.27983947321772573,0.5520182847976685,0.2231718972325325
google_gemini-2.5pro,February\二月(with_Mama_Zola).txt,0.860879610566532,0.7832097013791403,0.8454594254493714,0.9296540021896362,0.9045009613037109
google_gemini-2.5pro,February\二月(with_Okakura_Kakuzo).txt,0.837539487025317,0.7719793518384298,0.7872334122657776,0.947036862373352,0.8890091180801392
