file_id,text_preview,primary_profile_or_status,source_type,tsne_x,tsne_y,umap_x,umap_y,original_filename,score_stance,score_Comprehensive_Analyst,score_Historically_Focused,score_Technique_and_Style_Focused,score_Theory_and_Comparison_Focused,score_General_Descriptive_Profile,proportion_Comprehensive_Analyst,proportion_Historically_Focused,proportion_Technique_and_Style_Focused,proportion_Theory_and_Comparison_Focused,proportion_General_Descriptive_Profile,primary_profile_by_proportion
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.1_石涛画像.txt,"石涛画像：

“就体形而言，他的身高一般，在1674年及1690年的画像中，他是一个稍蓄胡须的赢瘦男子...在我们关注的五十几岁到六十几岁这段期间，石涛总形容自己是个健壮的大胡子...”
“自画像显示石涛为僧期间身着白衣，有时戴着垂到肩上、遮住光头的黑色罩头...然而，他在迁至大涤堂后却明显改为道士装束（头上戴的或许是道冠）。”
“由于出生在西南偏远的广西省，并在中国中南方的湖北省度过童年，石涛可...",,human,14.927887,-3.60788,-4.721074,5.052224,,0.6117416620254517,0.513768990779971,0.8405991494655609,0.504228095315835,0.0,0.6929684267404245,0.2013544858849452,0.32944458037259705,0.1976152526195303,0.0,0.2715856811229275,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,"1700年左右的扬州：

“在1696年末或1697年初，石涛终于搬进城内...石涛住在运河边的西州路上...这幢小楼位于大东门（旧城东墙的北门）外拥挤的低级住宅区，挤在城墙和运河之间...这幢房子并不太大，只有三四个房间。”（大涤堂）
“扬州是个兼具商业和行政两种性质的城市...扬州城的位置是在长江北岸...联系中国南北方的交通动脉大运河也环绕其周围。”
“这个城市分为东、西两半部，在石涛当时分...",,human,-12.793731,1.2153355,8.214829,8.66355,,0.1630236804485321,0.0,0.0,0.0,0.0,0.03954395265312227,0.0,0.0,0.0,0.0,1.0,General_Descriptive_Profile
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.3_江南的绘画与现代性.txt,"江南的绘画与现代性：

早期现代阶段被定义为“一段夹在16世纪晚期、17世纪时愈益商业化、货币化、城市化，与19世纪晚期、20世纪时急速工业化浪潮之间的时期”。特征包括“远距交易总量的激增”、“区域专业化现象”、“急速的人口成长”、“制造关系和工作组织的重大变化”以及“白银作为主要货币”。
柯律格（Craig Clunas）强调“品味创造”在江南新兴商品经济中的重要性，认为“品味便起作用了...也...",,human,15.265965,-3.7261624,-4.74209,5.134056,,0.7542005777359009,0.5262988324348743,0.9125185708204906,0.47964073136156676,0.0,0.7790037725061019,0.19510890257434482,0.3382878432540067,0.17781186458834022,0.0,0.28879138958330836,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.4_现代性地理志.txt,"现代性地理志：

研究方法：“将‘主体性’的各种组成，以及他作品中的艺术价值，视为以视觉与文字论述（及反论述）交会而成的广大论述领域（discursive field）中的主题地标。”
主体性与价值的现代性特征：“石涛画作在不同方面都参与了现代西方社会所谓的公私交界的‘意见’（opinion）或社会论争的论述空间。”
自主性期望：“石涛的艺术以其实用主义，甚至（有时是）投机主义，为脱离国家、市场和...",,human,0.94316065,3.9943008,2.2640803,7.6054506,,0.8802211284637451,0.0,0.1129446029663086,0.12496236738036659,0.0,0.6637553787406753,0.0,0.12526263637450258,0.1385910895656802,0.0,0.7361462740598173,General_Descriptive_Profile
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.1_画家的欲望.txt,"石涛梦境：“尝梦过一桥，遇洗菜女子，引入一大院观画，其奇变不可纪。又梦登雨花台，手掬六日吞之，而书画每因之变，若神授然。” “绘画与欲望间具有达致的共同关联重要。”
扬州消费社会与欲望：“张潮的关系链——搭配大醉、性爱欲望、物质主义、气的规范——勾勒出欲望在扬州消费社会的中心地位...袁启旭...申述...自制令本色埋没，而纵欲则使本色借缺点、错误、狂热而显现。”
食物与欲望：“石涛不仅在酒的作用...",,human,-0.72880304,1.9728299,2.832458,8.258421,,0.473011314868927,0.0,0.0,0.22494943794958727,0.0,0.39753666068775884,0.0,0.0,0.36137262895028993,0.0,0.63862737104971,General_Descriptive_Profile
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.2_属于自己的时刻.txt,"“情韵是他作为明代诗人画家传统的一部分，其承传可上溯至沈周...（图145跋）‘诗中画性情中来者也...画中诗乃境趣时生者也...’”
专注与安全感：“‘安’字，有着稳定、和平、安宁、静止和休养等意义...‘安’也可指经济保障...” “专注借由向心力量而加强了从容内敛与无限持续的孤寂...虽则短暂，却使那一时刻转变为心灵家园。”
专注的图像：（图204儿童放风筝）“‘纸上传得春消息，若到花时，何...",,human,6.1169224,-1.0213708,-0.06788255,6.574986,,0.3715243339538574,0.0,0.5077262885040708,0.38602385110422666,0.0,0.4187356500243917,0.0,0.38684326528682833,0.2941165947497678,0.0,0.3190401399634038,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.3_大限.txt,"李磷挽诗：“往日招寻惯，孤栖失两城。里言难众喻，狂赏出心诚。从此西州路，含愁那忍行？”
石涛对死亡的关注：“贯穿大涤堂时期不断的病痛，令他经常恐惧死亡将至...‘群狮心惊久已’、‘将谓苦瓜根欲断之矣’...（1701年）他总结道：‘此十年之内，知交数辈，学太白之歌，颇不寂寞云。’”
临终前的创作：“石涛对丧礼的深切关注...石涛1707年秋天不断以图像寻求终结的背后，是关于身后的焦虑驱使他对完成自...",,human,14.489611,0.028712114,-4.9306455,6.6626263,,0.2500731348991394,0.5046081508581455,0.7960383792718251,0.42877322730480455,0.4148706793785095,0.3642473854124546,0.20115628570049782,0.31733162331414544,0.1709255581103293,0.16538346589903477,0.14520306697599258,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.1_山水中的人物.txt,"山水中的人物：

“石涛画中主宰山水的代表人物通常是他自己、他的朋友及顾客，即使未加以特别标识，这些人物通常也可被解读为精英阶层分子...这群人还可以缩小至城市精英的界线内...”    
“（非精英阶层）常以两种角色出现：若非家仆，便是船夫、搬运工、导游、赶骡的人及挑夫等使17世纪晚期中国交通运输流畅的人。”    
“清初在阶级方面的语汇宛如种姓制度般...关键的差异在于其介于自由与不自由的劳...",,human,8.114707,-6.3093963,1.0986447,6.9948354,,0.7208245396614075,0.0,0.7183232977986336,0.37082027939020423,0.4278496305147807,0.6537565446911968,0.0,0.33091022906079554,0.17082589966029374,0.19709762953687693,0.3011662417420337,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.2_自传式的指涉.txt,"自传式的指涉：

“石涛不完全属于上述四种基本分类的任何一种。他一直以僧人姿态在清初社会闯荡，直到1696年脱离僧伽为止。宗教人物的社会地位并不容易放入...世俗阶级中；这可由宗教人士通常被称呼为‘方外’得到证实。”    
“如同其老师旅庵本月与师祖木陈道（闵麟嗣）等先辈，石涛原属佛教人士中的知识精英，在某种程度上是穿着僧袍的文人。”    
“石涛一生经常清楚地以‘遗世’僧人的身份面对其观众....",,human,14.575258,-4.5035496,-4.655321,5.0613847,,0.6475233435630798,0.3184362202882767,0.8175810451308887,0.1385728520615136,0.0,0.6140281540306812,0.16860803746934483,0.4328990444832572,0.0733726100990335,0.0,0.32512030794836444,Historically_Focused
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.3_休闲及其寂静.txt,"休闲及其寂静：

石涛山水画空间的社会地理学区域划分：“它的第一个区域——我称之为‘休闲区域’——是一个非现实意义上某个可居的城镇或乡村...第二个区域更深入旷野，一点农作也没有。这里属于奇境...第三个区域则是可以由一地到另一地且不属于任何人的道路和运河、河流和湖泊、渡口和关隘...（第四个区域）城镇的都市型山水景致...在其山水视界形成一个特殊的社会地理学区域。”    
“其中以‘士’为典型...",,human,2.8637908,3.331582,1.5947701,7.2968826,,0.6848286986351013,0.0,0.33249982529216343,0.17710082445512798,0.43295182784398395,0.5980638113211502,0.0,0.21582260792976984,0.11495453198158095,0.2810250877910811,0.38819777229756813,General_Descriptive_Profile
